input,input,output
-1.00,-.01,1.00
-1.00,.00,-.00
-.99,-.01,.99
-.99,.00,-.00
-.99,.01,-.99
-.98,-.01,.98
-.98,.00,-.00
-.98,.01,-.98
-.97,-.01,.97
-.97,.00,-.00
-.97,.01,-.97
-.96,-.01,.96
-.96,.00,-.00
-.96,.01,-.96
-.95,-.01,.95
-.95,.00,-.00
-.95,.01,-.95
-.94,-.01,.94
-.94,.00,-.00
-.94,.01,-.94
-.93,-.01,.93
-.93,.00,-.00
-.93,.01,-.93
-.92,-.01,.92
-.92,.00,-.00
-.92,.01,-.92
-.91,-.01,.91
-.91,.00,-.00
-.91,.01,-.91
-.90,-.01,.90
-.90,.00,-.00
-.90,.01,-.90
-.89,-.01,.89
-.89,.00,-.00
-.89,.01,-.89
-.88,-.01,.88
-.88,.00,-.00
-.88,.01,-.88
-.87,-.01,.87
-.87,.00,-.00
-.87,.01,-.87
-.86,-.01,.86
-.86,.00,-.00
-.86,.01,-.86
-.85,-.01,.85
-.85,.00,-.00
-.85,.01,-.85
-.84,-.01,.84
-.84,.00,-.00
-.84,.01,-.84
-.83,-.01,.83
-.83,.00,-.00
-.83,.01,-.83
-.82,-.01,.82
-.82,.00,-.00
-.82,.01,-.82
-.81,-.01,.81
-.81,.00,-.00
-.81,.01,-.81
-.80,-.01,.80
-.80,.00,-.00
-.80,.01,-.80
-.79,-.01,.79
-.79,.00,-.00
-.79,.01,-.79
-.78,-.01,.78
-.78,.00,-.00
-.78,.01,-.78
-.77,-.01,.77
-.77,.00,-.00
-.77,.01,-.77
-.76,-.01,.76
-.76,.00,-.00
-.76,.01,-.76
-.75,-.01,.75
-.75,.00,-.00
-.75,.01,-.75
-.74,-.01,.74
-.74,.00,-.00
-.74,.01,-.74
-.73,-.01,.73
-.73,.00,-.00
-.73,.01,-.73
-.72,-.01,.72
-.72,.00,-.00
-.72,.01,-.72
-.71,-.01,.71
-.71,.00,-.00
-.71,.01,-.71
-.70,-.01,.70
-.70,.00,-.00
-.70,.01,-.70
-.69,-.01,.69
-.69,.00,-.00
-.69,.01,-.69
-.68,-.01,.68
-.68,.00,-.00
-.68,.01,-.68
-.67,-.01,.67
-.67,.00,-.00
-.67,.01,-.67
-.66,-.01,.66
-.66,.00,-.00
-.66,.01,-.66
-.65,-.01,.65
-.65,.00,-.00
-.65,.01,-.65
-.64,-.01,.64
-.64,.00,-.00
-.64,.01,-.64
-.63,-.01,.63
-.63,.00,-.00
-.63,.01,-.63
-.62,-.01,.62
-.62,.00,-.00
-.62,.01,-.62
-.61,-.01,.61
-.61,.00,-.00
-.61,.01,-.61
-.60,-.01,.60
-.60,.00,-.00
-.60,.01,-.60
-.59,-.01,.59
-.59,.00,-.00
-.59,.01,-.59
-.58,-.01,.58
-.58,.00,-.00
-.58,.01,-.58
-.57,-.01,.57
-.57,.00,-.00
-.57,.01,-.57
-.56,-.01,.56
-.56,.00,-.00
-.56,.01,-.56
-.55,-.01,.55
-.55,.00,-.00
-.55,.01,-.55
-.54,-.01,.54
-.54,.00,-.00
-.54,.01,-.54
-.53,-.01,.53
-.53,.00,-.00
-.53,.01,-.53
-.52,-.01,.52
-.52,.00,-.00
-.52,.01,-.52
-.51,-.01,.51
-.51,.00,-.00
-.51,.01,-.51
-.50,-.02,1.00
-.50,-.01,.50
